Atmospheric Density,Surface Temperature,Gravity,Water Content,Mineral Abundance,Orbital Period,Proximity to Star,Magnetic Field Strength,Radiation Levels,Atmospheric Composition Index,Prediction
-2.8054535,-0.14929992,0.31776232,-1.8031785,-0.115878366,0.15662625,0.7258464,Category_8,,,9.0
,-0.2322941,-2.9119105,0.1869117,-0.60807157,-0.68364984,-0.3435424,Category_10,Category_9,1.9922925,
-1.0936236,3.3919752,-0.07241127,-1.8008258,0.5495915,0.059878435,-0.1336359,Category_8,Category_9,-0.2812574,9.0
-0.9407501,-0.34534562,-1.497183,-1.1181589,0.6116414,0.8420505,-0.5067933,Category_6,Category_9,2.0923336,8.0
-1.0170912,-0.625317,2.5338852,-1.6267835,-1.2253703,0.27342594,-1.9423308,Category_10,Category_8,,5.0
-1.2297906,-0.32849428,-2.6869254,-0.57125163,-1.0924674,-1.676765,0.20804976,Category_9,Category_7,0.34596398,9.0
1.1488436,-2.9510152,-0.87708896,-4.3865685,0.80235136,-0.08270838,-0.13376373,Category_13,Category_8,1.1114262,3.0
-0.3240721,-2.9981072,-1.8117559,-0.30309775,-1.3809067,-1.2907729,-0.24374163,Category_14,Category_7,-1.1005814,3.0
6.5266924,-0.36542267,-0.5853165,-2.9439604,-3.146156,1.6877016,-0.7124177,Category_7,Category_11,0.8099867,0.0
0.8341217,3.9324055,-1.7888263,-1.7231083,-2.0201077,-0.08663854,1.8549825,Category_14,Category_8,1.1448029,7.0
-3.01578,-0.5456922,,0.22447075,-0.8823494,-0.51256406,,Category_10,Category_12,-1.9261531,4.0
-0.6960833,3.3002243,-0.88984853,-1.2161796,-0.2251741,0.8179002,0.40663072,Category_10,Category_7,-1.2767446,9.0
-0.4341269,0.498885,1.5225132,,1.7700688,2.2612643,-0.48645002,Category_6,Category_8,0.05430118,8.0
4.9298935,-0.04811755,-1.1828585,-0.9673555,-2.7209265,2.265791,1.3247944,,Category_12,0.09303145,0.0
-2.0657816,2.2588167,1.2713339,-1.5979766,0.2168473,0.372875,-0.20126039,Category_9,Category_9,-1.937401,9.0
1.0963517,2.4613783,-2.936618,0.39770955,2.539974,0.8412276,-2.5162816,Category_13,Category_13,1.088781,4.0
-3.004829,-2.963955,0.7352608,0.1671284,-0.18480463,2.1010878,-1.7702007,Category_9,Category_12,0.2865812,1.0
1.7122808,1.7948186,0.13645726,4.0562687,-2.2384055,2.6410282,-1.2687016,Category_9,Category_10,0.33419657,4.0
-2.38021,-0.19151595,1.1883001,0.28309596,0.5740477,0.34257933,-2.7782235,Category_10,Category_12,-1.1190108,4.0
1.1648588,-1.5428382,1.064248,-0.14491643,2.5589316,-3.4861174,-0.9760327,Category_8,Category_10,0.58188534,6.0
4.930713,-0.9516594,1.1028689,-2.902261,-1.2217146,-0.14197671,-0.45852774,Category_8,Category_14,0.2336313,0.0
2.2931511,2.1266427,0.7471459,2.2222517,-0.75543606,-1.3724729,-0.89952064,Category_9,Category_7,0.99945956,4.0
-2.2375624,-1.5418775,,0.8702532,-1.6876409,,,Category_10,Category_11,-0.74917346,5.0
0.8217465,-1.0186974,2.1765203,0.91850686,0.8176967,-4.0908494,-0.1665252,Category_11,Category_10,-0.9373886,6.0
-3.8386014,-2.191458,,0.66521406,-1.0091695,0.67693347,-0.080356285,,Category_11,-0.5520212,1.0
0.8943288,-2.1938086,-1.9200441,1.2840812,-3.2781343,2.156194,,Category_10,Category_7,0.3351503,0.0
4.8976803,-0.42743823,-0.61438453,-2.340581,1.6713266,,0.5937905,Category_11,Category_11,-0.4404349,0.0
-0.91916174,-1.9828379,-0.68072945,1.100254,-0.62053555,-1.9116035,,Category_7,Category_6,0.5837632,1.0
-1.2925397,1.7458202,1.6639799,-0.7259032,-1.9903773,0.97614795,0.26681843,Category_12,Category_10,-2.4575236,7.0
-3.472887,-1.0780959,0.16200916,0.7534898,-1.9312046,-0.82731646,1.0124768,Category_7,Category_8,-0.6562393,1.0
-0.4710316,-0.47170338,2.6563444,1.9925492,1.5973891,-2.322852,0.91665363,Category_10,Category_9,-0.66959524,6.0
,-1.4302567,-3.5054762,-2.0361633,0.7598737,-2.1650274,,Category_12,Category_9,0.21501032,3.0
3.2257013,-1.536079,0.9290579,,-1.0650514,-0.64447814,-0.98750293,Category_14,Category_11,-0.37013885,0.0
-1.187382,-3.4842148,-2.652499,0.83700436,0.9606531,0.7598898,1.087446,Category_10,Category_10,,
-3.4652822,-2.773814,0.5757184,0.10162521,-0.4545664,1.5376426,-1.0705405,Category_9,Category_13,0.6110153,1.0
-3.5550132,-2.181907,1.3079407,0.30310622,0.61380494,2.4188964,0.63631636,,Category_10,-0.32758695,1.0
-1.7277259,,1.764036,-0.8708845,-0.9685696,1.9550468,0.13249731,Category_11,Category_12,-2.0004318,7.0
2.0707383,-1.74802,-1.5389495,0.986623,-0.018234797,-0.15089719,0.16805312,,Category_7,,9.0
4.150296,-0.9113353,1.4516264,-3.5766208,-0.11600706,-1.955184,-0.76563287,Category_12,Category_8,-0.13139698,0.0
,-2.2860126,0.2753331,2.3411589,2.5816336,0.8817998,1.1285572,Category_12,Category_5,0.9147674,2.0
0.7781404,0.059638105,2.4943697,1.7487007,0.19598655,-1.881763,0.90278107,Category_8,Category_8,-0.89973587,6.0
-1.1020721,2.6999743,-1.1875778,-0.8708272,-1.2264943,0.8384705,0.97321904,Category_13,Category_5,0.924683,7.0
-0.709467,-1.5198413,0.5093155,-2.4182837,1.13219,,-1.1702493,Category_10,Category_6,0.81837064,8.0
-1.0406557,-0.017670887,-2.6987193,0.6510784,-1.7225163,,0.24924636,Category_11,Category_10,-1.487617,3.0
-0.38846114,,2.3791957,-1.6360255,0.95149374,1.1026764,0.37834764,Category_8,Category_10,-1.5326343,9.0
4.472771,-1.3739287,-2.527674,0.8357056,-2.7779784,2.167457,0.51910484,Category_6,Category_9,0.14877917,0.0
0.34390065,3.5154018,2.8652086,0.44716406,-1.0317574,0.20324872,-1.4603789,Category_7,Category_8,-1.9232656,4.0
2.1870422,0.8492633,1.9571617,3.0516784,1.0446109,,0.45967075,Category_6,,-0.35045117,6.0
-0.5792657,2.4354877,1.4296746,-1.2739372,-1.8895032,0.6329486,,Category_14,Category_10,-2.5820293,7.0
-0.62190604,2.175116,-0.94683933,1.487689,0.07963323,0.18161769,-3.2884505,Category_10,Category_8,-0.0058795977,4.0
0.48399657,,2.1846013,0.88817924,,-2.9733174,1.2489688,Category_9,Category_8,-1.1992922,6.0
-0.65548587,-0.5561909,1.4320446,-2.31783,1.49507,,0.31169328,Category_4,Category_6,-0.69836396,8.0
4.6928725,,1.4210815,-2.5233805,0.56615984,-1.5281298,-0.017636014,Category_11,Category_7,-0.4083483,0.0
-2.5543034,2.1998081,-0.018336209,-1.4936806,-1.0129997,1.0518258,1.8678089,Category_10,Category_8,-0.18611552,7.0
-0.4882005,-0.6114443,1.5736127,-2.6389298,,1.6437005,-0.50775814,Category_6,Category_6,0.5871574,8.0
-0.5950292,-1.6226562,,-1.2734823,0.047108807,-1.3297341,-0.2648383,Category_12,Category_8,-0.045658506,3.0
-3.5787656,-1.4162627,0.3283818,0.6437837,-0.8702003,1.6636852,-0.37936285,Category_9,Category_10,-0.5032964,1.0
-1.1508734,0.8196401,0.38583693,-0.29584926,-0.6206956,-1.6126211,-0.87850124,Category_8,Category_9,1.7261598,5.0
-0.1767178,2.7382085,0.45115337,-1.4216608,-2.3450518,-0.31791422,0.25063622,Category_14,Category_9,-1.3448585,7.0
-3.4525576,-1.3399175,-0.0672636,0.4656925,-2.0295973,-1.4639677,0.9044738,Category_7,Category_8,,1.0
-1.1164232,3.3021793,0.7712133,-1.7268078,-2.058057,1.5253284,1.2711159,Category_11,Category_7,-1.3835531,7.0
-2.8022962,-0.11545398,,0.65276104,-1.6990846,-1.8152462,0.40443587,Category_8,Category_6,0.93430597,
-3.5991678,-3.168377,,0.36659387,-0.14081758,1.0834569,-0.1948462,Category_8,Category_13,0.2694218,1.0
1.7561473,-0.4820487,-0.4532358,1.561665,1.8116999,-3.3093672,-0.7307272,Category_6,Category_7,-0.23236187,6.0
0.84736675,-2.457637,-0.6059255,-1.5553563,2.2373474,1.0143092,-1.7893509,Category_15,Category_5,-0.16358583,3.0
1.5962263,-1.5559378,-1.5127957,1.7848004,-2.9269648,1.8751597,0.78492486,Category_8,Category_8,0.47005066,0.0
-0.64653105,0.8342302,0.234156,2.3139577,-0.9168066,-1.8040332,0.20679805,Category_10,Category_10,0.297893,
0.11819096,2.2924511,-1.7940586,0.6281785,1.0846658,0.014300742,-1.7152313,Category_9,Category_12,0.7841559,9.0
2.9469695,0.89438635,-2.349665,-2.8493404,2.1000395,2.61075,-1.8416656,Category_8,Category_10,-0.64268506,3.0
-3.9016197,-1.2282485,-0.06364818,0.25195277,-1.895644,-0.76511353,1.1231297,Category_8,Category_9,0.2850756,1.0
-3.0474539,-3.6011412,1.3624587,0.5836532,0.59197724,1.7453889,-1.2298065,Category_9,Category_12,1.1705033,1.0
5.3729167,0.027582236,-0.2727726,-1.1593083,-4.3733,0.59933025,1.4521209,Category_6,Category_13,1.1739843,0.0
-0.8795471,3.152711,1.5745486,-0.47462192,0.20537965,-0.46076733,-1.9005749,Category_9,Category_8,-2.4479706,4.0
-0.3039767,4.0630417,-0.68012476,,1.3764752,-1.3620371,-1.1515118,Category_11,Category_10,1.0925024,9.0
2.519659,-2.4480414,0.19405825,0.5616203,1.4869901,1.821118,1.4300231,Category_12,Category_12,1.1614,2.0
3.2332335,-1.0257792,-0.026767677,-0.20729014,-2.6521661,-1.4172695,-0.7021289,Category_5,Category_8,,
5.322386,-1.3839921,3.3454008,-2.7002592,-3.2123492,-0.055183783,-0.57058984,Category_11,Category_12,0.9683122,0.0
2.2977118,1.0760913,-1.7970685,-0.33903998,0.47803614,1.2686121,4.6967626,Category_13,Category_8,-0.079364866,2.0
6.1428013,-3.1382682,-1.6276786,0.84512913,-2.8925738,2.2015202,1.3041078,Category_4,Category_8,1.372856,0.0
-1.3660505,-2.2127342,1.0232639,2.7506943,1.4001125,1.6889535,0.2845449,Category_10,Category_8,,2.0
-0.52257013,2.7043908,1.7703323,-0.7162123,-2.18795,2.1290288,1.2335181,Category_13,Category_9,,7.0
-3.7137175,-1.3693916,-0.025999282,0.6785506,,-0.3622864,0.11932312,Category_8,Category_9,-0.6264643,1.0
-0.8041755,-2.1966748,0.7720945,-2.414819,1.3182979,-0.50863385,,Category_8,Category_8,1.8656065,8.0
1.1938802,-0.23541121,0.19714898,2.164289,2.0020542,-2.8744006,-0.5232478,Category_4,Category_7,0.22453298,6.0
-1.2071413,1.091976,2.889238,1.3932327,-0.10175308,-0.17678918,-1.303503,Category_12,Category_9,,4.0
-3.5812569,-1.8061312,0.30622727,-0.7014125,-0.14142191,-1.4763327,1.9003451,Category_7,Category_10,1.1072866,1.0
-0.43717247,-1.60066,2.7513478,0.0006428975,2.482244,-2.922471,0.108296596,Category_10,Category_12,0.437307,6.0
-1.0787215,-1.5552539,-2.8056388,-1.6884443,0.034038603,-0.2098418,0.74309224,Category_12,Category_9,0.6141588,3.0
,2.237809,2.6944861,-0.068774946,0.60373586,0.035926044,-1.350478,Category_7,Category_11,-2.334837,4.0
-2.0499716,-1.0862625,0.0012954235,-1.0239269,-0.859042,-1.5642427,2.1494534,,Category_5,0.27251863,5.0
-2.88841,1.2182467,0.12396014,-2.03928,-0.42324185,-0.6658261,1.1937791,Category_11,Category_9,-0.95185214,9.0
-0.9385845,0.60176086,-2.7572417,0.9985798,0.41267195,-1.3615414,-0.10895891,Category_11,Category_9,-0.019139314,1.0
0.10886743,-2.3233082,-0.061400965,-2.5388043,2.0070853,1.1386613,-0.5724384,Category_13,Category_5,0.3530763,3.0
-1.27262,-1.9299405,-3.9967008,0.15833864,0.0068665035,-1.0724351,-0.3479996,Category_10,Category_10,-0.6389259,3.0
-2.0583398,-2.057596,2.1024518,-1.8543454,1.6558931,2.4136004,1.6632599,Category_7,Category_9,-0.45361832,8.0
2.1810834,-2.7413867,-0.5613297,0.07091363,-0.42321026,-1.7307129,0.23388954,Category_10,Category_8,,5.0
,2.1478562,2.5969477,0.36697873,1.3959345,-0.58119565,-1.1623036,Category_11,Category_9,-1.7398272,4.0
-2.7104065,0.016698997,-0.46935734,-0.0092096925,-1.2445039,0.98842967,1.1188983,Category_11,Category_6,-1.2333958,7.0
-2.0014977,0.26543048,1.5578439,-0.6109571,-0.4101009,2.0549011,,Category_11,Category_12,-1.7038226,
-1.2142514,2.4561803,-0.28785452,0.91866183,0.2514962,0.07589187,-0.6158348,Category_8,Category_6,-1.3028536,
-1.0530179,0.46622097,-0.2018413,1.8100766,0.5230303,1.2715678,1.3430982,Category_9,Category_12,1.6011151,2.0
-1.2237074,-1.1782678,-2.4327796,0.8229836,0.12647584,0.80097073,-1.033735,Category_9,,-0.28316036,8.0
-1.5933597,0.030402672,2.2829432,0.80816483,-1.9711461,0.43173438,-1.0795695,Category_10,Category_10,-0.68870544,5.0
0.33776388,-2.5061955,2.0167122,0.055461034,1.420211,,0.057737373,Category_7,Category_3,-0.47568756,8.0
,0.7412722,,1.4192876,3.0768595,-3.129264,1.3152448,Category_9,Category_6,,6.0
-1.7566688,1.2498963,0.8222263,0.20131283,0.5459439,0.3257347,0.33180428,Category_9,Category_5,0.003968125,7.0
1.1992245,-2.0974653,-4.3225923,-1.4698949,2.3341455,1.0973699,-1.8793833,Category_12,Category_9,-1.3470693,3.0
-1.2178758,0.6250148,1.509467,0.6479684,-0.56217396,-2.205254,0.794445,Category_7,Category_14,0.72229683,
,0.87519026,2.5051289,1.9697003,0.81607765,-3.620437,1.158557,Category_10,Category_6,-1.0538493,6.0
-3.375167,-2.3699532,0.46107435,0.44402397,-1.5348159,-0.2597552,1.5108916,Category_7,Category_9,-0.2682059,1.0
-2.6497493,0.56698793,0.6354322,-1.1049575,-0.107138306,0.0034501788,0.0015253416,Category_7,Category_9,-1.7561773,9.0
-0.17250456,2.8478377,-2.316169,-0.5020866,-0.90928006,0.0739553,-0.3980367,Category_13,Category_8,0.5665608,9.0
0.62575144,0.08840736,3.1162977,1.372868,1.4629691,-3.0040264,1.4727492,Category_9,Category_9,-0.7534553,6.0
2.9391623,-0.19295247,0.30807695,-0.31672993,-4.523022,0.8941133,0.08728662,Category_7,Category_9,1.9390199,0.0
0.72877055,-1.9863724,0.8740705,-2.4488196,2.124918,0.4140072,-1.9192555,Category_14,Category_4,,3.0
-0.15117636,1.4995235,-1.7660728,2.3191254,-2.995335,0.34701824,-1.59854,,Category_10,-1.3528955,7.0
0.9147967,-0.34572357,1.1326642,1.6008465,1.5328224,2.772872,,Category_8,Category_8,1.3570181,2.0
-1.1769288,0.37529543,,-0.7107891,0.60110927,-0.5183542,0.47169796,Category_9,Category_7,0.100156695,8.0
2.5161512,,0.42205596,-1.7222136,,1.8525964,-0.8828553,Category_9,Category_8,1.2896411,2.0
-1.1545626,2.7975564,-2.3348196,-0.578571,1.2620667,-0.17899947,-0.4239902,Category_7,Category_8,0.7935973,9.0
,0.9943733,1.8200907,0.67256576,1.2729464,0.16698675,-2.5809882,Category_9,Category_13,-1.3073001,4.0
2.364697,2.9561372,-1.5763801,3.136597,1.7900517,2.1648684,-2.9516919,Category_13,Category_13,-0.6032672,4.0
0.51469797,-0.42429516,2.6297438,1.4130397,2.895188,-3.9355383,0.37846658,Category_8,Category_10,-0.57784665,6.0
-1.4642576,2.0541625,1.6630995,0.15871762,1.1133842,,-1.4656535,Category_7,Category_8,,4.0
-0.586475,3.128931,1.5486538,-2.2656593,-0.011797084,-0.7920119,-0.2549235,Category_10,Category_9,-1.9935437,9.0
,-0.4711931,0.37688285,-1.7868482,1.9558554,2.6168435,3.4081268,Category_8,Category_10,-0.22147515,7.0
4.1053367,-1.2620765,0.8582195,-2.122163,1.0861344,-2.578146,0.58768284,Category_12,Category_9,-0.8242281,0.0
-0.8475767,3.4492807,-1.7465327,-0.52712005,,-0.375096,-0.7181594,Category_9,Category_10,,9.0
1.4993689,-0.7596613,1.0195788,1.119573,2.215135,2.3075278,1.3668063,Category_9,Category_9,1.0565885,2.0
0.010720081,3.6717725,-0.92875427,-1.6050318,-0.86560494,-0.15113033,-0.25092825,Category_13,Category_9,-0.30476975,9.0
-2.6952477,-0.9245002,1.4533671,1.0766299,-1.6847886,0.5003721,-1.015285,Category_11,Category_11,0.16100402,5.0
-3.6692822,-1.4592628,-0.04916291,0.4024484,-1.9641147,-0.3312988,0.8817875,Category_8,Category_10,-0.05895316,1.0
-1.3552717,-0.66045755,,-0.6043632,-1.02362,-0.52938765,-0.08457131,Category_13,Category_11,,5.0
-1.9917296,1.4112645,-1.7151779,,-0.31723613,-1.6388372,-0.06503071,Category_10,,1.2893577,9.0
-3.6182687,-2.1973639,1.3309957,-0.96683323,0.00855054,2.174701,,Category_9,Category_11,-0.4831866,1.0
1.5768576,-0.052528944,2.4132626,0.9595123,-2.6687186,-0.25431225,-2.2475653,Category_12,Category_7,0.86693305,2.0
2.708878,-1.0933152,-0.8827466,-2.8321705,1.125997,1.380896,-1.5635083,Category_10,Category_7,-0.22267784,3.0
-2.9232507,-1.605827,,0.71325624,-0.8831771,0.18670852,1.9232254,Category_9,Category_8,-0.21983312,2.0
0.80289316,1.7801526,0.35449538,-3.5813026,0.01670695,1.8345397,0.2706511,Category_9,,1.4720509,3.0
2.1707358,,-3.3513753,-0.096670404,-0.21137464,,1.3148338,Category_9,Category_6,-0.815028,5.0
-1.3715826,3.7483153,0.22719736,-1.6969005,0.76089865,0.5222326,0.71488947,Category_8,Category_9,-0.6982707,9.0
-3.3199942,-0.9594426,-0.70525837,,-1.5163349,-1.4402945,1.3992406,Category_7,Category_7,0.52007693,1.0
0.04158076,3.261502,1.8073107,-1.4610916,-2.0735028,0.87560076,1.6874306,Category_15,Category_10,-2.0800996,7.0
-0.19599006,,-1.0666487,3.3107884,0.9189953,-0.899295,0.072179966,Category_5,Category_8,-2.0165722,6.0
2.5864093,-4.460169,1.3734593,1.4683979,,-0.43738347,0.6145525,Category_14,Category_11,0.7229538,2.0
0.7564516,0.80448073,-0.839123,0.309913,2.2065566,1.5129503,-1.1547295,Category_8,Category_7,-0.15084639,8.0
0.4706724,-0.29224122,,1.1188704,0.121679574,-0.05759873,2.0692127,Category_12,Category_15,1.8034117,2.0
0.008228788,-2.7530556,0.80669796,3.417008,-0.20057935,-1.2607169,1.9524612,Category_7,,2.1815343,2.0
-1.4259044,,2.2878263,0.6829113,-1.6738548,-0.095106736,-1.2890154,Category_11,Category_9,-0.5434692,5.0
4.83507,-0.49102783,1.3092537,0.6762681,-1.1705065,-1.0190912,-0.47198358,Category_9,Category_8,-0.59956723,0.0
-0.019541241,2.709919,1.6586411,-1.4150386,-2.7423027,0.8661627,0.7545001,Category_14,,-1.8257203,7.0
1.3662553,,-1.5900079,1.5413274,2.541528,1.4126017,-2.7223363,Category_10,Category_8,0.29938617,4.0
-1.2126291,1.1327621,1.5032936,-2.9667382,0.17661153,0.24331681,0.2513903,Category_10,Category_8,-1.6395638,9.0
1.2996054,3.8268018,-3.1355498,0.27425665,-1.6120143,0.19512129,-0.18564631,Category_15,Category_12,0.5768324,7.0
-1.7747275,-1.9216539,1.9334726,-1.2986798,0.5477599,1.251099,-0.46578816,Category_6,Category_8,-0.5362809,8.0
-0.84935796,-2.5356388,-3.3834524,0.94383425,1.2506555,-0.40629762,1.2742565,Category_12,Category_10,-0.091487974,3.0
0.10029757,1.4166485,1.5009199,1.4891269,0.60728806,2.0113614,0.63930607,Category_10,Category_10,1.8655515,2.0
,-0.4889789,-0.2916812,-0.06454538,-0.6380853,-2.3818827,1.751468,Category_8,Category_7,1.0872548,1.0
-2.985903,-1.8623241,1.1665219,0.2512862,0.5170837,3.3740525,-1.7632452,Category_10,Category_11,-0.07034808,1.0
-0.9717411,-1.2383814,2.6516993,-2.1985948,0.94475025,0.24421774,,Category_10,Category_9,0.96805376,8.0
0.67144734,0.40284607,-0.22509138,-4.0764213,0.2691314,1.3994858,-0.65726286,Category_9,Category_7,1.3938409,3.0
-1.0664861,1.2414141,2.113591,1.8852377,1.8538179,-2.1891851,0.92418605,Category_11,Category_6,-0.89087635,6.0
-3.005335,-3.004569,0.83721083,0.51396567,-0.0018074446,1.6886797,-1.8427181,Category_10,Category_12,1.0830324,1.0
4.3376436,-1.2879093,-2.042367,-1.1426611,-4.1102324,3.109545,0.120582044,Category_5,Category_8,1.3339211,0.0
0.7387458,0.98456866,1.2742,-1.6998314,-0.511611,1.82284,0.75829196,Category_11,Category_6,0.95809996,
-4.09441,-1.981513,0.6065282,-0.23474222,,0.035211746,,Category_8,Category_11,0.13805752,1.0
5.3268723,-2.6539404,-2.428842,0.6051468,-3.4456248,3.2822237,1.4481437,Category_7,Category_8,0.9375181,0.0
0.9835095,-0.412906,-1.5983101,0.53127927,-2.1830664,0.517528,-1.0212857,Category_6,Category_6,-0.7688566,0.0
-3.7781298,-2.4881709,0.71114445,-0.3806587,-0.5977824,0.04173472,1.7118716,Category_8,Category_11,-0.31150287,1.0
-2.428781,1.2074087,-1.3453149,-0.5858082,-1.6573184,-1.5062476,1.2970831,Category_6,Category_8,1.575996,7.0
1.4507947,-1.2608097,1.8493967,3.2050025,3.542874,2.6231894,-0.6741138,Category_12,Category_7,1.1096522,2.0
0.7853282,3.399748,-2.4450784,-0.6021692,-1.0022116,-0.38817787,1.1128476,,Category_8,2.0971909,7.0
1.2083247,-3.3197665,-1.5158291,-2.2553194,1.5501082,0.82844675,-0.0188931,Category_16,Category_5,0.08229719,3.0
2.3116982,-0.085661404,-1.8863981,0.05165586,-0.026741425,-0.8974952,-0.3840672,Category_8,Category_9,-1.8413036,0.0
-0.29574493,,0.64469826,0.4320925,1.0290025,-0.8135363,-2.605019,Category_12,Category_6,0.5391028,4.0
0.7554835,-0.32802126,-0.037029777,2.2133274,1.3814456,-1.718768,0.22951935,Category_5,Category_8,-1.2218448,6.0
0.82262737,-1.0295932,1.551959,-2.4490056,-0.6950368,-2.1413896,-1.4660826,Category_12,Category_8,0.54313654,5.0
1.7116759,-2.8863943,0.6982831,1.3834935,0.6440719,2.4079711,-0.6828201,Category_10,Category_4,,2.0
